Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
198154,Has Globalization Gone Too Far?,Dani Rodrik,"Rodrik, Dani",C. Fred Bergsten,"=""0881322415""","=""9780881322415""",4,3.64,Peterson Institute for International Economics,Paperback,128,1997,1997,2019/11/22,2021/04/25,,,read,,,,1,,,0,,,,,
493371,The Bottom Billion: Why the Poorest Countries Are Failing and What Can Be Done About It,Paul Collier,"Collier, Paul",هيثم نشواتي,"=""0195311450""","=""9780195311457""",5,3.87,"Oxford University Press, USA",Hardcover,205,2007,2007,2020/05/12,2021/04/25,,,read,,,,1,,,0,,,,,
10975,The Sound and the Fury,William Faulkner,"Faulkner, William",,"=""""","=""""",3,3.86,Vintage International,Paperback,366,1990,1929,2020/06/04,2021/04/25,,,read,,,,1,,,0,,,,,
4981,Slaughterhouse-Five,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""0385333846""","=""9780385333849""",3,4.08,Dial Press,Paperback,275,1999,1969,2020/05/19,2021/04/25,,,read,,,,1,,,0,,,,,
350,Stranger in a Strange Land,Robert A. Heinlein,"Heinlein, Robert A.",James Warhola,"=""0441788386""","=""9780441788385""",2,3.92,Ace,Paperback,525,1991,1961,2020/04/03,2021/04/25,,,read,,,,1,,,0,,,,,
18114322,The Grapes of Wrath,John Steinbeck,"Steinbeck, John",,"=""067001690X""","=""9780670016907""",3,3.98,Viking,Hardcover,479,2014,1939,2020/04/25,2021/04/25,,,read,,,,1,,,0,,,,,
375802,"Ender's Game (Ender's Saga, #1)",Orson Scott Card,"Card, Orson Scott",,"=""0812550706""","=""9780812550702""",4,4.30,Tor,Mass Market Paperback,324,2004,1985,2020/03/23,2021/04/25,,,read,,,,1,,,0,,,,,
3263607,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""""","=""9780345015339""",5,4.37,Ballantine Books,Mass Market Paperback,527,1973,1954,2020/03/14,2021/04/25,,,read,,,,1,,,0,,,,,
18007564,The Martian,Andy Weir,"Weir, Andy",,"=""0804139024""","=""9780804139021""",5,4.40,Crown,Hardcover,384,2014,2012,2020/03/06,2021/04/25,,,read,,,,1,,,0,,,,,
20518872,The Three-Body Problem (Remembrance of Earth’s Past #1),Liu Cixin,"Cixin, Liu",Ken Liu,"=""0765377063""","=""9780765377067""",4,4.06,Tor Books,Hardcover,399,2014,2006,2020/11/04,2021/04/25,,,read,,,,1,,,0,,,,,
26022605,Sister Sable (The Mad Queen #1),T. Mountebank,"Mountebank, T.",,"=""""","=""""",2,3.50,Mountebank,Kindle Edition,361,2015,2015,2020/05/13,2021/04/25,,,read,,,,1,,,0,,,,,
4982,The Sirens of Titan,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",Chris     Moore,"=""""","=""""",4,4.14,Gollancz,Paperback,224,1999,1959,2020/06/20,2021/04/25,,,read,,,,1,,,0,,,,,
35069870,"Fake Science: Exposing the Left's Skewed Statistics, Fuzzy Facts, and Dodgy Data",Austin Ruse,"Ruse, Austin",Mike Chamberlain,"=""1683669185""","=""9781683669180""",2,3.82,Mission Audio,Audiobook,,2017,,2020/05/07,2021/04/25,,,read,,,,1,,,0,,,,,
7996,"Redwall (Redwall, #1)",Brian Jacques,"Jacques, Brian",,"=""1862301387""","=""9781862301382""",4,4.10,Red Fox,Paperback,352,2006,1986,2020/12/06,2021/04/25,,,read,,,,1,,,0,,,,,
449573,The Theory of Everything: The Origin and Fate of the Universe,Stephen Hawking,"Hawking, Stephen",,"=""0641587716""","=""9780641587719""",3,4.18,New Millennium Entertainment,Hardcover,176,2002,2002,2020/11/10,2021/04/25,,,read,,,,1,,,0,,,,,
369409,The Logic of Collective Action: Public Goods and the Theory of Groups,Mancur Olson,"Olson, Mancur",,"=""0674537513""","=""9780674537514""",4,3.97,Harvard University Press,Paperback,186,1971,1965,2020/04/30,2021/04/25,,,read,,,,1,,,0,,,,,
