Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
7624,Lord of the Flies,William Golding,"Golding, William",,"=""0140283331""","=""9780140283334""",5,3.69,Penguin Books ,Paperback,182,1999,1954,2016/11/15,2021/03/28,,,read,,,,1,,,0,,,,,
4671,The Great Gatsby,F. Scott Fitzgerald,"Fitzgerald, F. Scott",Francis Scott Fitzgerald,"=""""","=""""",4,3.93,Scribner,Paperback,200,2004,1925,2017/01/11,2021/03/28,,,read,,,,1,,,0,,,,,
77203,The Kite Runner,Khaled Hosseini,"Hosseini, Khaled",Berliani M. Nugrahani,"=""""","=""""",4,4.31,Riverhead Books,Paperback,371,2004,2003,2017/03/18,2021/03/28,,,read,,,,1,,,0,,,,,
4929,Kafka on the Shore,Haruki Murakami,"Murakami, Haruki",Philip Gabriel,"=""1400079276""","=""9781400079278""",5,4.13,Vintage International,Paperback,467,2006,2002,2018/04/17,2021/03/28,,,read,,,,1,,,0,,,,,
18135,Romeo and Juliet,William Shakespeare,"Shakespeare, William","Paavo Emil Cajander, Barbara A. Mowat, Paul Werstine","=""0743477111""","=""9780743477116""",4,3.75,Simon Schuster,Paperback,301,2004,1597,2018/07/02,2021/03/28,,,read,,,,1,,,0,,,,,
68428,"The Final Empire (Mistborn, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""076531178X""","=""9780765311788""",5,4.44,Tor Books,Hardcover,544,2006,2006,2019/01/09,2021/03/28,,,read,,,,1,,,0,,,,,
68429,"The Well of Ascension (Mistborn, #2)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765316889""","=""9780765316882""",4,4.35,Tor Books,Hardcover,590,2007,2007,2019/01/19,2021/03/28,,,read,,,,1,,,0,,,,,
2767793,"The Hero of Ages (Mistborn, #3)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765316897""","=""9780765316899""",4,4.48,Tor Books,Hardcover,572,2008,2008,2019/01/29,2021/03/28,,,read,,,,1,,,0,,,,,
30165203,"American Gods (American Gods, #1)",Neil Gaiman,"Gaiman, Neil",,"=""""","=""""",5,4.10,William Morrow,Kindle Edition,635,2011,2001,2019/03/03,2021/03/28,,,read,,,,1,,,0,,,,,
12067,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,"Pratchett, Terry",Neil Gaiman,"=""""","=""""",4,4.24,William Morrow,Mass Market Paperback,491,2006,1990,2019/03/15,2021/03/28,,,read,,,,1,,,0,,,,,
23444482,"The Traitor Baru Cormorant (The Masquerade, #1)",Seth Dickinson,"Dickinson, Seth",,"=""0765380722""","=""9780765380722""",5,4.06,Tor Books / Tom Doherty Associates ,Hardcover,399,2015,2015,2019/03/27,2021/03/28,,,read,,,,1,,,0,,,,,
2429135,"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,"Larsson, Stieg",Reg Keeland,"=""""","=""""",3,4.14,Knopf,Hardcover,465,2008,2005,2019/05/22,2021/03/28,,,read,,,,1,,,0,,,,,
2612,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,"Gladwell, Malcolm",,"=""0316346624""","=""9780316346627""",3,3.98,Back Bay Books,Paperback,301,2002,2000,2019/05/24,2021/03/28,,,read,,,,1,,,0,,,,,
24213,Alice's Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,"Carroll, Lewis","John Tenniel, Martin Gardner","=""0451527747""","=""9780451527745""",3,4.06,Penguin Group (USA),Paperback,239,2000,1871,2019/05/29,2021/03/28,,,read,,,,1,,,0,,,,,
