Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
37823157,Things That Make White People Uncomfortable,Michael Bennett,"Bennett, Michael","Dave Zirin, Martellus Bennett","=""1608468935""","=""9781608468935""",5,4.22,Haymarket Books,Hardcover,220,2018,2018,2021/02/19,2021/04/24,,,read,,,,1,,,0,,,,,
1698340,A Farewell to Alms,G.B. Trudeau,"Trudeau, G.B.",,"=""044920197X""","=""9780449201978""",3,3.57,Fawcett Crest,Mass Market Paperback,128,1984,,2021/02/05,2021/04/24,,,read,,,,1,,,0,,,,,
20518872,The Three-Body Problem (Remembrance of Earth’s Past #1),Liu Cixin,"Cixin, Liu",Ken Liu,"=""0765377063""","=""9780765377067""",5,4.06,Tor Books,Hardcover,399,2014,2006,2020/03/13,2021/04/24,,,read,,,,1,,,0,,,,,
17212231,"Inferno (Robert Langdon, #4)",Dan Brown,"Brown, Dan",,"=""0385537859""","=""9780385537858""",3,3.86,Doubleday,Hardcover,463,2013,2013,2020/03/30,2021/04/24,,,read,,,,1,,,0,,,,,
10818853,"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,"James, E.L.",,"=""1612130291""","=""9781612130293""",1,3.66,Vintage,Paperback,356,2011,2011,2020/02/14,2021/04/24,,,read,,,,1,,,0,,,,,
6411961,"The Lost Symbol (Robert Langdon, #3)",Dan Brown,"Brown, Dan",,"=""0385504225""","=""9780385504225""",4,3.72,Doubleday,Hardcover,509,2009,2009,2020/02/28,2021/04/24,,,read,,,,1,,,0,,,,,
960,"Angels & Demons (Robert Langdon, #1)",Dan Brown,"Brown, Dan",,"=""1416524797""","=""9781416524793""",4,3.91,Pocket Books,Mass Market Paperback,736,2006,2000,2020/02/02,2021/04/24,,,read,,,,1,,,0,,,,,
1625,Twelfth Night,William Shakespeare,"Shakespeare, William",,"=""0743482778""","=""9780743482776""",3,3.98,Simon Schuster,Paperback,272,2004,1601,2020/01/13,2021/04/24,,,read,,,,1,,,0,,,,,
11765,Americana,Don DeLillo,"DeLillo, Don",,"=""2868698220""","=""9782868698223""",2,3.41,Actes Sud,Paperback,454,1993,1971,2020/05/26,2021/04/24,,,read,,,,1,,,0,,,,,
968,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,"Brown, Dan",,"=""""","=""""",3,3.87,Anchor,Paperback,489,2006,2003,2020/05/02,2021/04/24,,,read,,,,1,,,0,,,,,
3450744,"Nudge: Improving Decisions About Health, Wealth, and Happiness",Richard H. Thaler,"Thaler, Richard H.",Cass R. Sunstein,"=""014311526X""","=""9780143115267""",3,3.83,Penguin Books,Paperback,260,2009,2008,2020/05/14,2021/04/24,,,read,,,,1,,,0,,,,,
375802,"Ender's Game (Ender's Saga, #1)",Orson Scott Card,"Card, Orson Scott",,"=""0812550706""","=""9780812550702""",5,4.30,Tor,Mass Market Paperback,324,2004,1985,2020/05/07,2021/04/24,,,read,,,,1,,,0,,,,,
6867,Atonement,Ian McEwan,"McEwan, Ian",,"=""038572179X""","=""9780385721790""",1,3.91,Anchor Books,Paperback,351,2003,2001,2020/06/26,2021/04/24,,,read,,,,1,,,0,,,,,
41576824,Slaughter House-Five,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""""","=""""",5,4.08,"The Waking, The destruction of Dresden",Spiral-bound,96,,1969,2020/06/13,2021/04/24,,,read,,,,1,,,0,,,,,
5907,"The Hobbit, or There and Back Again",J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""0618260307""","=""9780618260300""",4,4.28,Houghton Mifflin,Paperback,366,2002,1937,2020/06/04,2021/04/24,,,read,,,,1,,,0,,,,,
6334,Never Let Me Go,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""1400078776""","=""9781400078776""",4,3.83,Vintage Books ,Paperback,288,2010,2005,2020/07/18,2021/04/24,,,read,,,,1,,,0,,,,,
41865,"Twilight (Twilight, #1)",Stephenie Meyer,"Meyer, Stephenie",,"=""0316015849""","=""9780316015844""",4,3.61,"Little, Brown and Company",Paperback,501,2006,2005,2020/01/06,2021/04/24,,,read,,,,1,,,0,,,,,
1032,Trump: The Art of the Deal,Donald J. Trump,"Trump, Donald J.",Tony Schwartz,"=""0345479173""","=""9780345479174""",2,3.67,Ballantine Books,Paperback,384,2004,1987,2021/01/17,2021/04/24,,,read,,,,1,,,0,,,,,
10975,The Sound and the Fury,William Faulkner,"Faulkner, William",,"=""""","=""""",4,3.86,Vintage International,Paperback,366,1990,1929,2020/07/04,2021/04/24,,,read,,,,1,,,0,,,,,
350,Stranger in a Strange Land,Robert A. Heinlein,"Heinlein, Robert A.",James Warhola,"=""0441788386""","=""9780441788385""",2,3.92,Ace,Paperback,525,1991,1961,2020/08/17,2021/04/24,,,read,,,,1,,,0,,,,,
4982,The Sirens of Titan,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",Chris     Moore,"=""""","=""""",3,4.14,Gollancz,Paperback,224,1999,1959,2020/08/13,2021/04/24,,,read,,,,1,,,0,,,,,
275844,Deadline,Chris Crutcher,"Crutcher, Chris",,"=""0060850892""","=""9780060850890""",2,3.93,Greenwillow Books,Hardcover,320,2007,2007,2020/08/09,2021/04/24,,,read,,,,1,,,0,,,,,
7996,"Redwall (Redwall, #1)",Brian Jacques,"Jacques, Brian",,"=""1862301387""","=""9781862301382""",4,4.10,Red Fox,Paperback,352,2006,1986,2020/10/15,2021/04/24,,,read,,,,1,,,0,,,,,
493371,The Bottom Billion: Why the Poorest Countries Are Failing and What Can Be Done About It,Paul Collier,"Collier, Paul",هيثم نشواتي,"=""0195311450""","=""9780195311457""",4,3.87,"Oxford University Press, USA",Hardcover,205,2007,2007,2020/09/30,2021/04/24,,,read,,,,1,,,0,,,,,
391881,Free Trade Under Fire,Douglas A. Irwin,"Irwin, Douglas A.",,"=""0691122474""","=""9780691122472""",2,3.64,Princeton University Press,Paperback,304,2005,2002,2020/09/19,2021/04/24,,,read,,,,1,,,0,,,,,
369409,The Logic of Collective Action: Public Goods and the Theory of Groups,Mancur Olson,"Olson, Mancur",,"=""0674537513""","=""9780674537514""",3,3.97,Harvard University Press,Paperback,186,1971,1965,2020/09/08,2021/04/24,,,read,,,,1,,,0,,,,,
72978,Titus Andronicus,William Shakespeare,"Shakespeare, William",,"=""0671722921""","=""9780671722920""",4,3.70,Simon  Schuster,Paperback,268,2005,1594,2020/10/23,2021/04/24,,,read,,,,2,,,0,,,,,
25622780,Wide Sargasso Sea,Jean Rhys,"Rhys, Jean",,"=""0393352560""","=""9780393352566""",4,3.60,W. W. Norton  Company,Paperback,171,2016,1966,2020/11/14,2021/04/24,,,read,,,,1,,,0,,,,,
57913,The Illuminatus! Trilogy,Robert Shea,"Shea, Robert",Robert Anton Wilson,"=""0440539811""","=""9780440539810""",4,4.01,Dell,Paperback,805,1983,1975,2020/11/05,2021/04/24,,,read,,,,1,,,0,,,,,
10846336,Salvage the Bones,Jesmyn Ward,"Ward, Jesmyn",,"=""1608195228""","=""9781608195220""",4,3.93,Bloomsbury,Hardcover,261,2011,2011,2020/04/08,2021/04/24,,,read,,,,1,,,0,,,,,
