Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID,idx
77197,"Assassin's Apprentice (Farseer Trilogy, #1)",Robin Hobb,"Hobb, Robin",,"=""055357339X""","=""9780553573398""",0,4.15,Spectra Books,Mass Market Paperback,435,1996,1995,2020/02/14,2021/03/28,,,read,,,,1,,,0,,,,,,0
8255917,Washington: A Life,Ron Chernow,"Chernow, Ron",,"=""1594202664""","=""9781594202667""",2,4.09,Penguin Press,Hardcover,928,2010,2010,2019/04/25,2021/03/28,,,read,,,,1,,,0,,,,,,1
18877,"The Warrior Prophet (The Prince of Nothing, #2)",R. Scott Bakker,"Bakker, R. Scott",,"=""1585677280""","=""9781585677283""",2,3.96,Harry N. Abrams/Overlook Press,Paperback,624,2005,2004,2020/08/25,2021/03/28,,,read,,,,1,,,0,,,,,,2
35530652,"Grey Sister (Book of the Ancestor, #2)",Mark  Lawrence,"Lawrence, Mark",,"=""0008152349""","=""9780008152345""",3,4.40,Ace,Hardcover,416,2018,2018,2021/03/04,2021/03/28,,,read,,,,1,,,0,,,,,,3
86525,Master of the Senate,Robert A. Caro,"Caro, Robert A.",,"=""0394720954""","=""9780394720951""",3,4.32,Vintage,Paperback,1167,2003,2002,2018/02/12,2021/03/28,,,read,,,,1,,,0,,,,,,4
944073,"The Blade Itself (The First Law, #1)",Joe Abercrombie,"Abercrombie, Joe",,"=""0575079797""","=""9780575079793""",5,4.16,Gollancz,Paperback,515,2007,2006,2021/03/28,2021/03/28,,,read,,,,1,,,0,,,,,,5
4929,Kafka on the Shore,Haruki Murakami,"Murakami, Haruki",Philip Gabriel,"=""1400079276""","=""9781400079278""",5,4.13,Vintage International,Paperback,467,2006,2002,2018/04/17,2021/03/28,,,read,,,,1,,,0,,,,,,6
30165203,"American Gods (American Gods, #1)",Neil Gaiman,"Gaiman, Neil",,"=""""","=""""",5,4.10,William Morrow,Kindle Edition,635,2011,2001,2019/03/03,2021/03/28,,,read,,,,1,,,0,,,,,,7
23444482,"The Traitor Baru Cormorant (The Masquerade, #1)",Seth Dickinson,"Dickinson, Seth",,"=""0765380722""","=""9780765380722""",5,4.06,Tor Books / Tom Doherty Associates ,Hardcover,399,2015,2015,2019/03/27,2021/03/28,,,read,,,,1,,,0,,,,,,8
7624,Lord of the Flies,William Golding,"Golding, William",,"=""0140283331""","=""9780140283334""",5,3.69,Penguin Books ,Paperback,182,1999,1954,2016/11/15,2021/03/28,,,read,,,,1,,,0,,,,,,9
