Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID,idx
6867,Atonement,Ian McEwan,"McEwan, Ian",,"=""038572179X""","=""9780385721790""",1,3.91,Anchor Books,Paperback,351,2003,2001,2020/06/26,2021/04/24,,,read,,,,1,,,0,,,,,,0
10818853,"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,"James, E.L.",,"=""1612130291""","=""9781612130293""",1,3.66,Vintage,Paperback,356,2011,2011,2020/02/14,2021/04/24,,,read,,,,1,,,0,,,,,,1
18114322,The Grapes of Wrath,John Steinbeck,"Steinbeck, John",,"=""067001690X""","=""9780670016907""",2,3.98,Viking,Hardcover,479,2014,1939,2020/03/25,2021/04/24,,,read,,,,1,,,0,,,,,,2
275844,Deadline,Chris Crutcher,"Crutcher, Chris",,"=""0060850892""","=""9780060850890""",2,3.93,Greenwillow Books,Hardcover,320,2007,2007,2020/08/09,2021/04/24,,,read,,,,1,,,0,,,,,,3
350,Stranger in a Strange Land,Robert A. Heinlein,"Heinlein, Robert A.",James Warhola,"=""0441788386""","=""9780441788385""",2,3.92,Ace,Paperback,525,1991,1961,2020/08/17,2021/04/24,,,read,,,,1,,,0,,,,,,4
37823157,Things That Make White People Uncomfortable,Michael Bennett,"Bennett, Michael","Dave Zirin, Martellus Bennett","=""1608468935""","=""9781608468935""",5,4.22,Haymarket Books,Hardcover,220,2018,2018,2021/02/19,2021/04/24,,,read,,,,1,,,0,,,,,,5
40605329,"The Mysterious Benedict Society (The Mysterious Benedict Society, #1)",Trenton Lee Stewart,"Stewart, Trenton Lee",,"=""""","=""""",5,4.17,"Little, Brown Books for Young Readers",Kindle Edition,497,2008,2007,2021/03/03,2021/04/24,,,read,,,,1,,,0,,,,,,6
41576824,Slaughter House-Five,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""""","=""""",5,4.08,"The Waking, The destruction of Dresden",Spiral-bound,96,,1969,2020/06/13,2021/04/24,,,read,,,,1,,,0,,,,,,7
20518872,The Three-Body Problem (Remembrance of Earth’s Past #1),Liu Cixin,"Cixin, Liu",Ken Liu,"=""0765377063""","=""9780765377067""",5,4.06,Tor Books,Hardcover,399,2014,2006,2020/03/13,2021/04/24,,,read,,,,1,,,0,,,,,,8
10603,Cujo,Stephen King,"King, Stephen",,"=""0307348245""","=""9780307348241""",5,3.74,Debolsillo,Paperback,432,2006,1981,2021/01/12,2021/04/24,,,read,,,,1,,,0,,,,,,9
